ASC_Name,Provider_id,NPI,City,State,Zip_code,Year,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_5_Measure_Rate,ASC_5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC_6_SSChecklist,ASC_6_Footnote,ASC_7_Volume,ASC_7_Respiratory,ASC_7_Eye,ASC_7_Genitourinary,ASC_7_Musculoskeletal,ASC_7_Gastrointestinal,ASC_7_Nervous_System,ASC_7_skin,ASC_7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC_8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC_9_Footnote,ASC_10_rate,ASC_10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date,ASC_11_rate,ASC_11_Footnote,ASC_11_Encounter_Start_Date,ASC_11_Encounter_End_Date,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote,ASC_12_Encounter_Start_Date,ASC_12_Encounter_End_Date,ASC_12_RSHV_Rate
ROXBURY CLINIC AND SURGERY CENTER INC,05C0001658,1003001967,BEVERLY HILLS,CA,90210,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,Yes,,56,0,14,37,0,0,0,5,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2016,0.735,,0.735,,0,,1.471,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"4,699",12,461,66,690,"2,242","1,140",88,,1/1/2016,12/31/2016,87.21,,2016/2017,30.95,,16.67,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,192,No Different than the National Rate,10,19.6,,1/1/2016,12/31/2016,13.9
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,775",0,0,5,"1,274",268,222,6,,1/1/2016,12/31/2016,91.54,,2016/2017,30.56,,N/A,1,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2016,1.029,,0,,0,,1.03,,500,1,1/1/2016,12/31/2016,Yes,,"7,442",0,0,0,0,"7,442",0,0,,1/1/2016,12/31/2016,90,,2016/2017,83.14,,87.72,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,632,No Different than the National Rate,9.3,17.4,,1/1/2016,12/31/2016,12.7
YORK COUNTY ENDOSCOPY CENTER LLC,42C0001080,1003058744,ROCK HILL,SC,29732,2016,0,1,0,1,0,1,0,1,N/A,5,1/1/2016,12/31/2016,Yes,,"5,438",0,0,0,0,"5,438",0,0,,1/1/2016,12/31/2016,93.75,,2016/2017,62.5,,73.75,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,441",0,999,0,440,0,2,0,,1/1/2016,12/31/2016,82.43,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SPECIALTY ASC LLC,29C0001049,1003064890,LAS VEGAS,NV,89117,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
WASC LLC,36C0001248,1003079187,WOOSTER,OH,44691,2016,0,,0.945,,0,,0.945,,983.33,,1/1/2016,12/31/2016,Yes,,"2,039",56,99,0,556,732,595,1,,1/1/2016,12/31/2016,73.08,,2016/2017,86.46,,76.04,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,99,No Different than the National Rate,9.1,18.2,,1/1/2016,12/31/2016,12.8
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,907",0,0,0,"2,337",0,569,1,,1/1/2016,12/31/2016,71.08,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CREVE COEUR SURGERY CENTER  LLC,26C0001033,1003110792,CREVE COEUR,MO,63141,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"3,498",0,0,0,"3,232",0,266,0,,1/1/2016,12/31/2016,75.53,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,7860,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,949",0,0,0,0,"1,949",0,0,,1/1/2016,12/31/2016,88.46,,2016/2017,38.94,,62.83,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,455,No Different than the National Rate,8.5,16.4,,1/1/2016,12/31/2016,11.8
